posting_date,field,measurement,vid,zbs,kprs,rppd,table_name
2018-01-01,1,скв,0,1,16,1,2018-2022
2018-02-01,1,скв,0,0,13,0,2018-2022
2018-03-01,1,скв,0,2,19,1,2018-2022
2018-04-01,1,скв,0,1,13,1,2018-2022
2018-05-01,1,скв,0,1,20,1,2018-2022
2018-06-01,1,скв,1,0,18,2,2018-2022
2018-07-01,1,скв,1,0,17,3,2018-2022
2018-08-01,1,скв,2,0,14,1,2018-2022
2018-09-01,1,скв,3,2,15,2,2018-2022
2018-10-01,1,скв,1,1,13,1,2018-2022
2018-11-01,1,скв,2,1,19,1,2018-2022
2018-12-01,1,скв,3,2,14,1,2018-2022
2019-01-01,1,скв,2,1,21,1,2018-2022
2019-02-01,1,скв,1,0,14,0,2018-2022
2019-03-01,1,скв,2,0,15,2,2018-2022
2019-04-01,1,скв,1,2,14,2,2018-2022
2019-05-01,1,скв,0,0,13,1,2018-2022
2019-06-01,1,скв,0,0,13,2,2018-2022
2019-07-01,1,скв,0,0,12,3,2018-2022
2019-08-01,1,скв,0,3,15,1,2018-2022
2019-09-01,1,скв,0,1,15,2,2018-2022
2019-10-01,1,скв,0,1,17,1,2018-2022
2019-11-01,1,скв,0,2,13,0,2018-2022
2019-12-01,1,скв,0,2,20,1,2018-2022
2018-01-01,2,скв,0,0,2,0,2018-2022
2018-02-01,2,скв,0,0,0,0,2018-2022
2018-03-01,2,скв,0,0,1,0,2018-2022
2018-04-01,2,скв,0,0,0,1,2018-2022
2018-05-01,2,скв,0,0,0,0,2018-2022
2018-06-01,2,скв,0,0,0,0,2018-2022
2018-07-01,2,скв,0,0,0,1,2018-2022
2018-08-01,2,скв,0,0,2,0,2018-2022
2018-09-01,2,скв,0,0,0,0,2018-2022
2018-10-01,2,скв,0,0,1,0,2018-2022
2018-11-01,2,скв,0,0,1,0,2018-2022
2018-12-01,2,скв,0,0,1,0,2018-2022
2019-01-01,2,скв,0,0,1,0,2018-2022
2019-02-01,2,скв,0,0,0,0,2018-2022
2019-03-01,2,скв,0,0,1,0,2018-2022
2019-04-01,2,скв,0,0,0,1,2018-2022
2019-05-01,2,скв,0,0,0,0,2018-2022
2019-06-01,2,скв,0,0,1,0,2018-2022
2019-07-01,2,скв,0,0,0,0,2018-2022
2019-08-01,2,скв,0,0,3,0,2018-2022
2019-09-01,2,скв,0,0,0,0,2018-2022
2019-10-01,2,скв,0,0,2,0,2018-2022
2019-11-01,2,скв,0,0,0,0,2018-2022
